Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
314	GO:CC	GO:0070516	CAK-ERCC2 complex	6.302124114544757e-09	True	"""A protein complex formed by the association of the cyclin-dependent protein kinase activating kinase (CAK) holoenzyme complex with ERCC2."" [PMID:8692841, PMID:8692842]"	4	104	4	17376	0.0384615384615384	1.0	query_1	['GO:0140513']	['CDK7', 'CCNH', 'MNAT1', 'ERCC2']
315	GO:CC	GO:0031422	RecQ family helicase-topoisomerase III complex	6.302124114544757e-09	True	"""A complex containing a RecQ family helicase and a topoisomerase III homologue (a member of the topoisomerase type IA subfamily); may also include one or more additional proteins; conserved from E. coli to human."" [GOC:bhm, GOC:krc, PMID:15889139]"	4	104	4	17376	0.0384615384615384	1.0	query_1	['GO:0005694', 'GO:1902494']	['BLM', 'TOP3A', 'RMI2', 'RMI1']
316	GO:CC	GO:0043625	delta DNA polymerase complex	6.302124114544757e-09	True	"""A multimeric DNA polymerase enzyme complex which differs in composition amongst species; in humans it is a heterotetramer of four subunits of approximately 125, 50, 68 and 12kDa, while in S. cerevisiae, it has three different subunits which form a heterotrimer, and the active enzyme is a dimer of this heterotrimer. Functions in DNA replication, mismatch repair and excision repair."" [GOC:jl, ISBN:0198547684, PMID:11205330, PMID:12403614]"	4	104	4	17376	0.0384615384615384	1.0	query_1	['GO:0042575', 'GO:0043601', 'GO:0140513']	['POLD3', 'POLD4', 'POLD1', 'POLD2']
317	GO:BP	GO:0031571	mitotic G1 DNA damage checkpoint signaling	9.94666493630838e-09	True	"""A signal transduction process that contributes to a mitotic cell cycle G1/S transition DNA damage checkpoint."" [GOC:mtg_cell_cycle]"	32	104	7	17376	0.0673076923076923	0.21875	query_1	['GO:0044773', 'GO:0044819']	['RPA2', 'CDKN1A', 'ATM', 'CDK2', 'PRKDC', 'TP53', 'CCND1']
318	GO:BP	GO:0044819	mitotic G1/S transition checkpoint signaling	9.94666493630838e-09	True	"""A cell cycle checkpoint that detects and negatively regulates progression from G1 to S phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]"	32	104	7	17376	0.0673076923076923	0.21875	query_1	['GO:0007093', 'GO:2000134']	['RPA2', 'CDKN1A', 'ATM', 'CDK2', 'PRKDC', 'TP53', 'CCND1']
319	GO:BP	GO:0033151	V(D)J recombination	1.0309103343197193e-08	True	"""The process in which immune receptor V, D, and J, or V and J gene segments, depending on the specific receptor, are recombined within a single locus utilizing the conserved heptamer and nonomer recombination signal sequences (RSS)."" [GOC:add, ISBN:0781700221, ISBN:0781735149]"	18	104	6	17376	0.0576923076923076	0.3333333333333333	query_1	['GO:0002562']	['LIG4', 'XRCC4', 'NHEJ1', 'ATM', 'PRKDC', 'POLB']
320	GO:BP	GO:0030330	DNA damage response, signal transduction by p53 class mediator	1.043154388637213e-08	True	"""A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage."" [GOC:go_curators]"	76	104	9	17376	0.0865384615384615	0.1184210526315789	query_1	['GO:0042770', 'GO:0072331']	['NBN', 'PAXIP1', 'BRCA2', 'CDKN1A', 'ATR', 'ATM', 'KAT5', 'TP53', 'KDM1A']
321	GO:BP	GO:0016064	immunoglobulin mediated immune response	1.1627833566902091e-08	True	"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	141	104	11	17376	0.1057692307692307	0.0780141843971631	query_1	['GO:0019724']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
322	GO:BP	GO:0006996	organelle organization	1.3967748293863636e-08	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3431	104	48	17376	0.4615384615384615	0.0139900903526668	query_1	['GO:0016043']	['HUS1', 'BRIP1', 'AKT1', 'XPA', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'LIG3', 'XRCC6', 'LIG4', 'MLH1', 'FEN1', 'RPA2', 'ERCC3', 'MSH3', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'MNAT1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'WRN', 'RMI2', 'RMI1', 'TP53', 'ERCC2', 'PNKP', 'RNF8']
323	GO:BP	GO:0019724	B cell mediated immunity	1.4402153699099804e-08	True	"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	144	104	11	17376	0.1057692307692307	0.0763888888888889	query_1	['GO:0002449', 'GO:0002460']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
324	GO:BP	GO:0140013	meiotic nuclear division	1.4791361211993005e-08	True	"""One of the two nuclear divisions that occur as part of the meiotic cell cycle."" [PMID:9334324]"	184	104	12	17376	0.1153846153846153	0.0652173913043478	query_1	['GO:0000280', 'GO:1903046']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
325	GO:BP	GO:0048523	negative regulation of cellular process	1.5702963978749323e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	4496	104	56	17376	0.5384615384615384	0.0124555160142348	query_1	['GO:0009987', 'GO:0048519', 'GO:0050794']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'LIG4', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'BRCA2', 'PHLPP1', 'RAD1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'HUS1B', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
326	GO:CC	GO:0000439	transcription factor TFIIH core complex	1.5962571622181756e-08	True	"""The 7 subunit core of TFIIH that is a part of either the general transcription factor holo-TFIIH or the nucleotide-excision repair factor 3 complex. In S. cerevisiae/humans the complex is composed of: Ssl2/XPB, Tfb1/p62, Tfb2/p52, Ssl1/p44, Tfb4/p34, Tfb5/p8 and Rad3/XPD."" [GOC:ew, GOC:krc, PMID:14500720, PMID:17215295, PMID:22308316, PMID:22572993, PMID:23028141, PMID:7813015]"	11	104	5	17376	0.048076923076923	0.4545454545454545	query_1	['GO:0090575']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
327	GO:BP	GO:0006272	leading strand elongation	1.72432431628177e-08	True	"""The process in which an existing DNA strand is extended continuously in a 5' to 3' direction by activities including the addition of nucleotides to the 3' end of the strand, complementary to an existing template, as part of DNA replication. Leading strand elongation proceeds in the same direction as the replication fork."" [GOC:mah, ISBN:071673706X, ISBN:0815316194]"	4	104	4	17376	0.0384615384615384	1.0	query_1	['GO:0006271']	['POLA1', 'PCNA', 'POLE3', 'POLE']
328	GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	2.249835163676254e-08	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	3356	104	47	17376	0.4519230769230769	0.0140047675804529	query_1	['GO:0009893', 'GO:0043170', 'GO:0060255']	['RBBP8', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'FANCI', 'RAD51AP1', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'WRN', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
329	GO:BP	GO:0031324	negative regulation of cellular metabolic process	2.2536043915370177e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	2089	104	36	17376	0.3461538461538461	0.0172331258975586	query_1	['GO:0009892', 'GO:0031323', 'GO:0044237', 'GO:0048523']	['RBBP8', 'AKT1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'LIG3', 'XRCC6', 'MLH1', 'MSH3', 'OGG1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'BLM', 'ATM', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'RMI2', 'TP53', 'NEIL1', 'KDM1A', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
330	GO:BP	GO:0032205	negative regulation of telomere maintenance	2.2736401886477172e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]"	36	104	7	17376	0.0673076923076923	0.1944444444444444	query_1	['GO:0000723', 'GO:0032204', 'GO:0051053', 'GO:2001251']	['NBN', 'RAD50', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'XRCC1']
331	GO:CC	GO:0005675	transcription factor TFIIH holo complex	2.6700504939695724e-08	True	"""A complex that is capable of kinase activity directed towards the C-terminal Domain (CTD) of the largest subunit of RNA polymerase II and is essential for initiation at RNA polymerase II promoters in vitro. It is composed of the core TFIIH complex and the TFIIK complex."" [GOC:ew, GOC:krc, PMID:14500720, PMID:22308316, PMID:22572993, PMID:7813015]"	12	104	5	17376	0.048076923076923	0.4166666666666667	query_1	['GO:0016591', 'GO:0032806', 'GO:0090575']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
332	REAC	REAC:R-HSA-9754119	Drug-mediated inhibition of CDK4/CDK6 activity	2.6969742111081684e-08	True	Drug-mediated inhibition of CDK4/CDK6 activity	5	104	4	17376	0.0384615384615384	0.8	query_1	['REAC:R-HSA-69231']	['CCND2', 'CDK4', 'CDK6', 'CCND1']
333	GO:BP	GO:0035556	intracellular signal transduction	2.7993881858224014e-08	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2546	104	40	17376	0.3846153846153846	0.0157109190887666	query_1	['GO:0007165']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'PAXIP1', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'PHLPP1', 'RAD1', 'CDKN1A', 'ATR', 'AR', 'PARP1', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'POLB', 'TP53', 'KDM1A', 'CCND1', 'MSH6']
334	GO:CC	GO:0005658	alpha DNA polymerase:primase complex	2.9555961954951252e-08	True	"""A complex of four polypeptides, comprising large and small DNA polymerase alpha subunits and two primase subunits, which are capable of catalyzing the synthesis of an RNA primer on the lagging strand of replicating DNA and the subsequent synthesis of a smal stretch of DNA. The smaller of the two primase subunits alone can catalyze oligoribonucleotide synthesis."" [GOC:mah, PMID:11395402, PMID:26975377]"	5	104	4	17376	0.0384615384615384	0.8	query_1	['GO:0042575', 'GO:0043601', 'GO:0055029']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2']
335	GO:BP	GO:0044249	cellular biosynthetic process	3.3496708567910595e-08	True	"""The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:jl]"	5011	104	59	17376	0.5673076923076923	0.0117740969866294	query_1	['GO:0009058', 'GO:0044237']	['RBBP8', 'BRIP1', 'AKT1', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'ERCC3', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'POLB', 'WRN', 'CDK4', 'POLE2', 'TP53', 'ERCC2', 'PNKP', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8']
336	GO:BP	GO:0006270	DNA replication initiation	3.3496708567910595e-08	True	"""The process in which DNA-dependent DNA replication is started; it begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, followed by DNA unwinding."" [PMID:28209641]"	38	104	7	17376	0.0673076923076923	0.1842105263157894	query_1	['GO:0006259', 'GO:0006261']	['RPA4', 'NBN', 'POLA1', 'PRIM1', 'PRIM2', 'CDK2', 'POLA2']
337	GO:BP	GO:0002285	lymphocyte activation involved in immune response	3.4449177798881546e-08	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]"	199	104	12	17376	0.1153846153846153	0.0603015075376884	query_1	['GO:0002366', 'GO:0046649']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'TP53', 'RNF8', 'MSH6']
338	GO:CC	GO:0005667	transcription regulator complex	3.6602946138617123e-08	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	505	104	17	17376	0.1634615384615384	0.0336633663366336	query_1	['GO:0032991']	['RBBP8', 'CDK7', 'XRCC6', 'HLTF', 'ERCC3', 'CCNH', 'PARP1', 'APEX1', 'MNAT1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'ERCC2', 'KDM1A', 'CCND1']
339	GO:CC	GO:0043073	germ cell nucleus	3.6602946138617123e-08	True	"""The nucleus of a germ cell, a reproductive cell in multicellular organisms."" [CL:0000586, GOC:go_curators]"	69	104	8	17376	0.0769230769230769	0.1159420289855072	query_1	['GO:0005634']	['CDK7', 'MLH1', 'H2AX', 'PCNA', 'RAD51', 'BRCA1', 'CDK2', 'TP53']
340	GO:CC	GO:0016605	PML body	4.2542605661927134e-08	True	"""A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection."" [GOC:ma, PMID:10944585]"	101	104	9	17376	0.0865384615384615	0.0891089108910891	query_1	['GO:0016604']	['NBN', 'RPA2', 'ATR', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'TOP3A', 'TP53']
341	REAC	REAC:R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	4.8432575542848296e-08	True	SUMOylation of DNA damage response and repair proteins	72	104	8	17376	0.0769230769230769	0.1111111111111111	query_1	['REAC:R-HSA-3108232']	['RAD52', 'MDC1', 'PARP1', 'XRCC4', 'RPA1', 'BLM', 'BRCA1', 'WRN']
342	GO:BP	GO:0046649	lymphocyte activation	5.785637274290263e-08	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	767	104	21	17376	0.2019230769230769	0.0273794002607561	query_1	['GO:0045321']	['AKT1', 'NBN', 'MSH2', 'TP53BP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'CDKN1A', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'PRKDC', 'KAT5', 'TP53', 'CDK6', 'RNF8', 'MSH6']
343	GO:BP	GO:0045910	negative regulation of DNA recombination	5.785637274290263e-08	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of DNA recombination."" [GOC:go_curators]"	41	104	7	17376	0.0673076923076923	0.1707317073170731	query_1	['GO:0000018', 'GO:0006310', 'GO:0051053']	['MSH2', 'TP53BP1', 'MLH1', 'MSH3', 'BLM', 'RMI2', 'MSH6']
344	GO:CC	GO:0055029	nuclear DNA-directed RNA polymerase complex	5.894942028851167e-08	True	"""A protein complex, located in the nucleus, that possesses DNA-directed RNA polymerase activity."" [GOC:mtg_sensu]"	105	104	9	17376	0.0865384615384615	0.0857142857142857	query_1	['GO:0000428', 'GO:0140513']	['CDK7', 'ERCC3', 'POLA1', 'PRIM1', 'CCNH', 'MNAT1', 'PRIM2', 'POLA2', 'ERCC2']
345	GO:BP	GO:0051095	regulation of helicase activity	7.203515174783173e-08	True	"""Any process that modulates the frequency, rate or extent of helicase activity."" [GOC:ai]"	12	104	5	17376	0.048076923076923	0.4166666666666667	query_1	['GO:0043462', 'GO:0050790']	['MSH2', 'MSH3', 'MNAT1', 'TP53', 'MSH6']
346	GO:CC	GO:0150005	enzyme activator complex	7.917224064060207e-08	True	"""A protein complex capable of activating an enzyme. Activating subunits may dissociate from the catalytic unit before the enzyme is active."" [GOC:bhm, PMID:16244137, PMID:28710280]"	6	104	4	17376	0.0384615384615384	0.6666666666666666	query_1	['GO:0032991']	['CDK7', 'PCNA', 'CCNH', 'MNAT1']
347	GO:CC	GO:0000428	DNA-directed RNA polymerase complex	7.917224064060207e-08	True	"""A protein complex that possesses DNA-directed RNA polymerase activity."" [GOC:krc]"	109	104	9	17376	0.0865384615384615	0.0825688073394495	query_1	['GO:0030880']	['CDK7', 'ERCC3', 'POLA1', 'PRIM1', 'CCNH', 'MNAT1', 'PRIM2', 'POLA2', 'ERCC2']
348	GO:BP	GO:0006297	nucleotide-excision repair, DNA gap filling	8.087671461878828e-08	True	"""Repair of the gap in the DNA helix by DNA polymerase and DNA ligase after the portion of the strand containing the lesion has been removed by pyrimidine-dimer repair enzymes."" [ISBN:0815316194]"	5	104	4	17376	0.0384615384615384	0.8	query_1	['GO:0006259', 'GO:0006289']	['POLD3', 'LIG4', 'POLD1', 'POLE']
349	GO:BP	GO:0090398	cellular senescence	8.521792977817717e-08	True	"""A cell aging process stimulated in response to cellular stress, whereby normal cells lose the ability to divide through irreversible cell cycle arrest."" [GOC:BHF, PMID:28682291]"	97	104	9	17376	0.0865384615384615	0.0927835051546391	query_1	['GO:0033554', 'GO:0044237']	['H2AX', 'BRCA2', 'CDKN1A', 'ATM', 'CDK2', 'KAT5', 'WRN', 'TP53', 'CDK6']
350	GO:BP	GO:0019985	translesion synthesis	8.521792977817717e-08	True	"""The replication of damaged DNA by synthesis across a lesion in the template strand; a specialized DNA polymerase or replication complex inserts a defined nucleotide across from the lesion which allows DNA synthesis to continue beyond the lesion. This process can be mutagenic depending on the damaged nucleotide and the inserted nucleotide."" [GOC:elh, GOC:vw, PMID:10535901]"	25	104	6	17376	0.0576923076923076	0.24	query_1	['GO:0000731', 'GO:0006301']	['USP1', 'POLD3', 'PCNA', 'POLD1', 'POLE2', 'POLD2']
351	REAC	REAC:R-HSA-2559583	Cellular Senescence	9.005893834272422e-08	True	Cellular Senescence	192	104	11	17376	0.1057692307692307	0.0572916666666666	query_1	['REAC:R-HSA-2262752']	['NBN', 'RAD50', 'H2AX', 'CDKN1A', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'CDK4', 'TP53', 'CDK6']
352	GO:CC	GO:0030880	RNA polymerase complex	9.88311258927082e-08	True	"""Any complex that possesses RNA polymerase activity; generally comprises a catalytic subunit and one or more additional subunits."" [GOC:mah]"	112	104	9	17376	0.0865384615384615	0.0803571428571428	query_1	['GO:0061695', 'GO:0140535']	['CDK7', 'ERCC3', 'POLA1', 'PRIM1', 'CCNH', 'MNAT1', 'PRIM2', 'POLA2', 'ERCC2']
353	GO:BP	GO:0072331	signal transduction by p53 class mediator	1.0971096837021152e-07	True	"""An intracellular signaling process that is induced by the cell cycle regulator phosphoprotein p53 or an equivalent protein."" [GOC:mah]"	176	104	11	17376	0.1057692307692307	0.0625	query_1	['GO:0035556']	['AKT1', 'NBN', 'MSH2', 'PAXIP1', 'BRCA2', 'CDKN1A', 'ATR', 'ATM', 'KAT5', 'TP53', 'KDM1A']
354	GO:BP	GO:0071481	cellular response to X-ray	1.1351430487045345e-07	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz)."" [GOC:mah]"	13	104	5	17376	0.048076923076923	0.3846153846153846	query_1	['GO:0010165', 'GO:0071479']	['TP53BP1', 'XRCC6', 'XRCC5', 'ATM', 'CCND2']
355	GO:BP	GO:0032206	positive regulation of telomere maintenance	1.1387568242857545e-07	True	"""Any process that activates or increases the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]"	70	104	8	17376	0.0769230769230769	0.1142857142857142	query_1	['GO:0000723', 'GO:0032204', 'GO:0051054', 'GO:2001252']	['NBN', 'RAD50', 'ATR', 'XRCC5', 'ERCC1', 'ATM', 'MRE11', 'PNKP']
