Mandibuloacral dysplasia with type A lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
82	GO:BP	GO:0009411	response to UV	7.81313759642577e-13	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ultraviolet radiation (UV light) stimulus. Ultraviolet radiation is electromagnetic radiation with a wavelength in the range of 10 to 380 nanometers."" [GOC:hb]"	150	100	15	15719	0.15	0.1	query_1	['GO:0009416']	['HUS1', 'XPA', 'MSH2', 'USP1', 'POLD3', 'FEN1', 'BRCA2', 'PCNA', 'PARP1', 'ERCC1', 'ERCC4', 'POLD1', 'WRN', 'TP53', 'MSH6']
83	GO:BP	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	1.1732370919188635e-12	True	"""A mitotic cell cycle checkpoint that slows DNA synthesis in response to DNA damage by the prevention of new origin firing and the stabilization of slow replication fork progression."" [GOC:vw]"	17	100	8	15719	0.08	0.4705882352941176	query_1	['GO:0044773']	['HUS1', 'RAD9B', 'MSH2', 'MDC1', 'FANCD2', 'RAD9A', 'MRE11', 'HUS1B']
84	GO:BP	GO:0016233	telomere capping	1.2145066499019376e-12	True	"""A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."" [GOC:mah, GOC:rn, PMID:11349150, PMID:11352055]"	40	100	10	15719	0.1	0.25	query_1	['GO:0000723']	['NBN', 'RAD50', 'DCLRE1C', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'PRKDC', 'XRCC1', 'PNKP']
85	GO:BP	GO:0000731	DNA synthesis involved in DNA repair	1.2145066499019376e-12	True	"""Synthesis of DNA that proceeds from the broken 3' single-strand DNA end and uses the homologous intact duplex as the template."" [PMID:10357855]"	40	100	10	15719	0.1	0.25	query_1	['GO:0006281', 'GO:0071897']	['USP1', 'POLD3', 'POLD4', 'POLA1', 'PCNA', 'POLD1', 'WRN', 'POLE2', 'POLE', 'POLD2']
69	REAC	REAC:R-HSA-1474165	Reproduction	1.3180703590539812e-12	True	Reproduction	141	96	16	10022	0.1666666666666666	0.1134751773049645	query_1	['REAC:0000000']	['RBBP8', 'NBN', 'RAD50', 'MLH1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'BRCA1', 'CDK2']
86	GO:BP	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	1.3779705043734688e-12	True	"""The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus during an immune response, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149, PMID:9185563]"	57	100	11	15719	0.11	0.1929824561403508	query_1	['GO:0002377', 'GO:0016064']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
87	GO:BP	GO:0051726	regulation of cell cycle	1.7903084082500213e-12	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1089	100	32	15719	0.32	0.0293847566574839	query_1	['GO:0007049', 'GO:0050794']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'PAXIP1', 'FEN1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'RMI2', 'TP53']
88	GO:BP	GO:0080135	regulation of cellular response to stress	1.7973386754293909e-12	True	"""Any process that modulates the frequency, rate or extent of a cellular response to stress. Cellular response to stress is a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	681	100	26	15719	0.26	0.0381791483113069	query_1	['GO:0033554', 'GO:0050794', 'GO:0080134']	['RBBP8', 'USP1', 'TP53BP1', 'RAD52', 'RAD51AP1', 'WDR48', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'PCNA', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'RAD9A', 'VDAC1', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC1', 'BARD1', 'RMI2', 'TP53', 'PNKP', 'RNF8']
89	GO:BP	GO:0000278	mitotic cell cycle	3.571542410901041e-12	True	"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]"	900	100	29	15719	0.29	0.0322222222222222	query_1	['GO:0007049']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'LIG1', 'BRCA2', 'POLA1', 'PCNA', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'APEX1', 'VRK1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53', 'BANF1', 'POLE']
90	GO:BP	GO:1903046	meiotic cell cycle process	3.972268848880617e-12	True	"""A process that is part of the meiotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	203	100	16	15719	0.16	0.0788177339901477	query_1	['GO:0022402', 'GO:0022414', 'GO:0051321']	['HUS1', 'BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'HUS1B', 'RMI1', 'MSH6']
91	GO:BP	GO:1902749	regulation of cell cycle G2/M phase transition	4.057250906014922e-12	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]"	109	100	13	15719	0.13	0.1192660550458715	query_1	['GO:0044839', 'GO:1901987']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'PAXIP1', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'BARD1', 'TP53']
70	REAC	REAC:R-HSA-174411	Polymerase switching on the C-strand of the telomere	6.50694632423672e-12	True	Polymerase switching on the C-strand of the telomere	26	96	9	10022	0.09375	0.3461538461538461	query_1	['REAC:R-HSA-174417']	['POLD3', 'POLD4', 'POLA1', 'PRIM1', 'PCNA', 'PRIM2', 'POLA2', 'POLD1', 'POLD2']
33	GO:CC	GO:0000793	condensed chromosome	7.364534350613583e-12	True	"""A highly compacted molecule of DNA and associated proteins resulting in a cytologically distinct structure."" [GOC:elh]"	274	102	17	16420	0.1666666666666666	0.0620437956204379	query_1	['GO:0005694']	['HUS1', 'RAD9B', 'TP53BP1', 'RAD50', 'LIG4', 'MLH1', 'H2AX', 'BRCA2', 'RAD1', 'FANCD2', 'BLM', 'RAD9A', 'RAD51', 'HUS1B', 'BRCA1', 'CDK2', 'BANF1']
92	GO:BP	GO:0007346	regulation of mitotic cell cycle	7.655317670214802e-12	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	489	100	22	15719	0.22	0.0449897750511247	query_1	['GO:0000278', 'GO:0051726']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RPA2', 'MDC1', 'BRCA2', 'RPA3', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'APEX1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
93	GO:BP	GO:0044818	mitotic G2/M transition checkpoint	1.5814036316370074e-11	True	"""A cell cycle checkpoint that detects and negatively regulates progression from G2 to M phase as part of a mitotic cell cycle."" [GOC:mtg_cell_cycle]"	51	100	10	15719	0.1	0.196078431372549	query_1	['GO:0007093', 'GO:0010972']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
34	GO:CC	GO:0016604	nuclear body	1.7169292392690624e-11	True	"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]"	808	102	26	16420	0.2549019607843137	0.0321782178217821	query_1	['GO:0005654', 'GO:0110165']	['LMNA', 'NBN', 'TP53BP1', 'H2AX', 'RPA2', 'MDC1', 'OGG1', 'PCNA', 'PARP1', 'RPA1', 'FANCD2', 'BLM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53']
35	GO:CC	GO:0043227	membrane-bounded organelle	1.8619145358487444e-11	True	"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]"	12219	102	101	16420	0.9901960784313726	0.008265815533186	query_1	['GO:0043226']	['RBBP8', 'MICOS10', 'HUS1', 'RPA4', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'MTX1', 'CHCHD3', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'APOOL', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'APOO', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'NEIL1', 'IMMT', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
71	REAC	REAC:R-HSA-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	2.3230531205389692e-11	True	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	7	96	6	10022	0.0625	0.8571428571428571	query_1	['REAC:R-HSA-73933']	['LIG3', 'OGG1', 'XRCC1', 'POLB', 'PNKP', 'NEIL1']
36	GO:CC	GO:0043229	intracellular organelle	2.5820999507931592e-11	True	"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]"	12263	102	101	16420	0.9901960784313726	0.0082361575470928	query_1	['GO:0005622', 'GO:0043226']	['RBBP8', 'MICOS10', 'HUS1', 'RPA4', 'MTX3', 'MTX2', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MICOS13', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'MTX1', 'CHCHD3', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'PMS2', 'PARP1', 'APOOL', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'APOO', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'DNAJC11', 'RMI1', 'TP53', 'CHCHD10', 'SAMM50', 'PNKP', 'NEIL1', 'IMMT', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
94	GO:BP	GO:0140527	reciprocal homologous recombination	2.854922355223493e-11	True	"""A DNA recombination process that results in the bidirectional exchange of genetic material between highly homologous DNA molecules."" [PMID:17846636]"	54	100	10	15719	0.1	0.1851851851851851	query_1	['GO:0035825']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
95	GO:BP	GO:0007131	reciprocal meiotic recombination	2.854922355223493e-11	True	"""The cell cycle process in which double strand breaks are formed and repaired through a single or double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity."" [PMID:2087779]"	54	100	10	15719	0.1	0.1851851851851851	query_1	['GO:0007127', 'GO:0140527', 'GO:1903046']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1']
97	GO:BP	GO:0110025	DNA strand resection involved in replication fork processing	3.393314625732522e-11	True	"""The 5' to 3' exonucleolytic resection of DNA at the site of a stalled replication fork that contributes to replication fork processing."" [GOC:mah, PMID:28475874]"	8	100	6	15719	0.06	0.75	query_1	['GO:0006259', 'GO:0031297']	['RBBP8', 'NBN', 'RAD50', 'MRE11', 'BRCA1', 'BARD1']
96	GO:BP	GO:1904354	negative regulation of telomere capping	3.393314625732522e-11	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of telomere capping."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	8	100	6	15719	0.06	0.75	query_1	['GO:0016233', 'GO:0032205', 'GO:1904353']	['NBN', 'RAD50', 'ERCC1', 'ERCC4', 'ATM', 'XRCC1']
37	GO:CC	GO:0061695	transferase complex, transferring phosphorus-containing groups	3.6826325492046186e-11	True	"""A transferase complex capable of catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [GOC:bhm, GOC:dph]"	305	102	17	16420	0.1666666666666666	0.0557377049180327	query_1	['GO:1990234']	['POLD3', 'XRCC6', 'POLD4', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'XRCC5', 'POLE3', 'PRIM2', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'POLE2', 'POLE', 'POLD2']
98	GO:BP	GO:0061982	meiosis I cell cycle process	4.611780095804886e-11	True	"""A process that contributes to the first meiotic division. The first meiotic division is the reductive division resulting in the separation of homologous chromosome pairs."" [PMID:29385397]"	132	100	13	15719	0.13	0.0984848484848484	query_1	['GO:1903046']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'ERCC1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'RMI1', 'MSH6']
38	GO:CC	GO:0030896	checkpoint clamp complex	5.435474734754399e-11	True	"""Conserved heterotrimeric complex of PCNA-like proteins that is loaded onto DNA at sites of DNA damage."" [PMID:12531008]"	5	102	5	16420	0.0490196078431372	1.0	query_1	['GO:0000794', 'GO:0140513']	['HUS1', 'RAD9B', 'RAD1', 'RAD9A', 'HUS1B']
99	GO:BP	GO:0036297	interstrand cross-link repair	5.7855824901203126e-11	True	"""Removal of a DNA interstrand crosslink (a covalent attachment of DNA bases on opposite strands of the DNA) and restoration of the DNA. DNA interstrand crosslinks occur when both strands of duplex DNA are covalently tethered together (e.g. by an exogenous or endogenous agent), thus preventing the strand unwinding necessary for essential DNA functions such as transcription and replication."" [GOC:vw, PMID:16464006, PMID:22064477]"	40	100	9	15719	0.09	0.225	query_1	['GO:0006281']	['XPA', 'FANCI', 'DCLRE1C', 'RAD51AP1', 'ERCC1', 'ERCC4', 'FANCD2', 'RAD51', 'RNF8']
100	GO:BP	GO:0050896	response to stimulus	6.389245787277031e-11	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	7975	100	84	15719	0.84	0.0105329153605015	query_1	['GO:0008150']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'VRK1', 'EXO1', 'HUS1B', 'CARD19', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'CHCHD6', 'POLD1', 'BARD1', 'POLB', 'WRN', 'EMD', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
39	GO:CC	GO:0098800	inner mitochondrial membrane protein complex	8.161767542974894e-11	True	"""Any protein complex that is part of the inner mitochondrial membrane."" [GOC:dos]"	155	102	13	16420	0.1274509803921568	0.0838709677419354	query_1	['GO:0005743', 'GO:0098796', 'GO:0098798']	['MICOS10', 'MTX3', 'MTX2', 'MICOS13', 'MTX1', 'CHCHD3', 'APOOL', 'APOO', 'CHCHD6', 'DNAJC11', 'CHCHD10', 'SAMM50', 'IMMT']
72	REAC	REAC:R-HSA-69206	G1/S Transition	9.131791680581004e-11	True	G1/S Transition	130	96	14	10022	0.1458333333333333	0.1076923076923077	query_1	['REAC:R-HSA-453279']	['RPA4', 'RPA2', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'CDK2', 'POLA2', 'POLE2', 'POLE']
73	REAC	REAC:R-HSA-162594	Early Phase of HIV Life Cycle	9.501373516677536e-11	True	Early Phase of HIV Life Cycle	14	96	7	10022	0.0729166666666666	0.5	query_1	['REAC:R-HSA-162587']	['XRCC6', 'LIG4', 'FEN1', 'LIG1', 'XRCC4', 'XRCC5', 'BANF1']
40	GO:CC	GO:1902494	catalytic complex	1.1327296101821709e-10	True	"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]"	1723	102	36	16420	0.3529411764705882	0.0208937899013348	query_1	['GO:0032991']	['TP53BP1', 'POLD3', 'FANCI', 'DCLRE1C', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'POLD4', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'RAD51', 'TOP3A', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'POLD1', 'BARD1', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
101	GO:BP	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	1.1578166060694472e-10	True	"""Any signalling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	62	100	10	15719	0.1	0.1612903225806451	query_1	['GO:0000086', 'GO:0010389', 'GO:1901991', 'GO:1902750']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
102	GO:BP	GO:0002312	B cell activation involved in immune response	1.3266926337501217e-10	True	"""The change in morphology and behavior of a mature or immature B cell during an immune response, resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:jal]"	86	100	11	15719	0.11	0.127906976744186	query_1	['GO:0002285', 'GO:0042113']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
103	GO:BP	GO:1901991	negative regulation of mitotic cell cycle phase transition	1.4112795184872848e-10	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	179	100	14	15719	0.14	0.0782122905027933	query_1	['GO:0044772', 'GO:0045930', 'GO:1901988', 'GO:1901990']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'RPA2', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'TP53']
74	REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	1.4261833107301804e-10	True	Cell Cycle, Mitotic	546	96	25	10022	0.2604166666666667	0.0457875457875457	query_1	['REAC:R-HSA-1640170']	['RPA4', 'POLD3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'LIG1', 'POLE4', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'RPA1', 'POLE3', 'PRIM2', 'VRK1', 'CDK2', 'POLA2', 'POLD1', 'EMD', 'POLE2', 'TP53', 'BANF1', 'POLE', 'POLD2']
104	GO:BP	GO:1902750	negative regulation of cell cycle G2/M phase transition	1.5680594621630514e-10	True	"""Any signalling pathway that decreases or inhibits the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the cell cycle."" [GO_REF:0000058, GOC:jl, GOC:TermGenie]"	64	100	10	15719	0.1	0.15625	query_1	['GO:0044839', 'GO:1901988', 'GO:1902749']	['RBBP8', 'HUS1', 'NBN', 'RAD50', 'BLM', 'ATM', 'MRE11', 'HUS1B', 'BRCA1', 'BARD1']
105	GO:BP	GO:0071103	DNA conformation change	1.6690489763540268e-10	True	"""A cellular process that results in a change in the spatial configuration of a DNA molecule. A conformation change can bend DNA, or alter the, twist, writhe, or linking number of a DNA molecule."" [GOC:mah]"	88	100	11	15719	0.11	0.125	query_1	['GO:0051276']	['BRIP1', 'NBN', 'RAD50', 'XRCC6', 'XRCC5', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'TOP3A', 'WRN']
106	GO:BP	GO:0051103	DNA ligation involved in DNA repair	1.8549693516595794e-10	True	"""The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase, that contributes to DNA repair."" [GOC:ai]"	5	100	5	15719	0.05	1.0	query_1	['GO:0006266', 'GO:0006281']	['LIG3', 'LIG4', 'XRCC4', 'NHEJ1', 'PNKP']
107	GO:BP	GO:0033151	V(D)J recombination	1.997809226195272e-10	True	"""The process in which immune receptor V, D, and J, or V and J gene segments, depending on the specific receptor, are recombined within a single locus utilizing the conserved heptamer and nonomer recombination signal sequences (RSS)."" [GOC:add, ISBN:0781700221, ISBN:0781735149]"	18	100	7	15719	0.07	0.3888888888888889	query_1	['GO:0002562']	['DCLRE1C', 'LIG4', 'XRCC4', 'NHEJ1', 'ATM', 'PRKDC', 'POLB']
108	GO:BP	GO:0044237	cellular metabolic process	2.490318084032662e-10	True	"""The chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:go_curators]"	8338	100	85	15719	0.85	0.0101942911969297	query_1	['GO:0008152', 'GO:0009987']	['RBBP8', 'HUS1', 'RPA4', 'LMNA', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'DCLRE1C', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'VDAC1', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'VRK1', 'EXO1', 'HUS1B', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'BANF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
